GEN,LAT,LON,Year,Type,study,fnx
Antioch_Br,38.019722,-121.750277,2007,Vemco,CM,Rec
Antioch_Br,38.019722,-121.750277,2008,Vemco,CM,Rec
AntiochBridge,38.026202,-121.751644,2013,JSATS,JSATS,Rec
AntiochBridge,38.023165,-121.751621,2014,JSATS,JSATS,Rec
AntiochBridge,38.025371,-121.751626,2015,JSATS,JSATS,Rec
AntiochBridge,38.028459,-121.75183,2016,JSATS,JSATS,Rec
AntiochBridge,38.028459,-121.75183,2017,JSATS,JSATS,Rec
Benicia,38.04494,-122.1269,2012,JSATS,JSATS,Rec
Benicia,38.04494,-122.1269,2013,JSATS,JSATS,Rec
Benicia,38.04494,-122.1269,2014,JSATS,JSATS,Rec
Benicia,38.04494,-122.1269,2015,JSATS,JSATS,Rec
Benicia,38.04494,-122.1269,2016,JSATS,JSATS,Rec
Benicia,38.04494,-122.1269,2017,JSATS,JSATS,Rec
Benicia Bridge,38.04123333,-122.1238167,2007,Vemco,CM,Rec
Benicia Bridge,38.04123333,-122.1238167,2008,Vemco,CM,Rec
Benicia Bridge,38.04123333,-122.1238167,2009,Vemco,CM,Rec
Benicia Bridge,38.04123333,-122.1238167,2010,Vemco,CM,Rec
Benicia Bridge,38.04123333,-122.1238167,2011,Vemco,CM,Rec
Chipps,38.047892,-121.92957,2012,Vemco,YoloAce,Rec
Chipps,38.047892,-121.92957,2013,Vemco,YoloAce,Rec
Chipps Island,38.04636667,-121.92035,2007,Vemco,CM,Rec
Chipps Island,38.04628,-121.92974,2008,Vemco,CM,Rec
Chipps Island,38.04628,-121.92974,2009,Vemco,CM,Rec
Chipps Island,38.04628,-121.92974,2010,Vemco,CM,Rec
Chipps Island,38.04398,-121.93089,2011,Vemco,CM,Rec
ChippsW,38.044822,-121.915819,2016,JSATS,JSATS,Rec
ChippsW,38.044822,-121.915819,2017,JSATS,JSATS,Rec
Decker_IsN,38.10252,-121.7169,2009,Vemco,CM,Rec
Decker_IsN,38.10252,-121.7169,2010,Vemco,CM,Rec
Decker_IsN,38.10252,-121.7169,2011,Vemco,CM,Rec
Decker_IsS,38.076983,-121.7534,2007,Vemco,CM,Rec
Decker_IsS,38.076983,-121.7534,2008,Vemco,CM,Rec
Decker_IsS,38.0831,-121.7594667,2009,Vemco,CM,Rec
Decker_IsS,38.0831,-121.7594667,2010,Vemco,CM,Rec
Decker_IsS,38.0831,-121.7594667,2011,Vemco,CM,Rec
DeckerIsland,38.07781,-121.75797,2013,JSATS,JSATS,Rec
DeckerIsland,38.07781,-121.75797,2014,JSATS,JSATS,Rec
DeckerIsland,38.07781,-121.75797,2015,JSATS,JSATS,Rec
DeckerIsland,38.07781,-121.75797,2016,JSATS,JSATS,Rec
DeckerIsland,38.07568,-121.75524,2017,JSATS,JSATS,Rec
MAL.10b,38.04828333,-121.9327833,2016,Vemco,YBUS,Rec
