Location ,Lat ,Lon,Rkm,Year,Type
Above_Hood,38.3683,-121.521,142.2781,2013,JSATS
Abv Grimes,39.0971,-121.89676,229.64699,2013,JSATS
Abv_FremontWeir,38.78212,-121.61526,177.15859,2013,JSATS
Abv_Otter_Island,39.88203,-122.06445,361.01861,2013,JSATS
Abv_RBPP,40.15301,-122.19824,403.24807,2013,JSATS
Abv_WoodsonBr,39.92009,-122.08446,366.84173,2013,JSATS
AbvColusaBr,39.2205,-122.00847,249.98005,2013,JSATS
AbvColusaBrRT,39.2647,-122,256.50637,2013,JSATS
AbvTisdale,39.0364,-121.82918,217.63083,2013,JSATS
Adobe,40.19994,-122.22167,410.45815,2013,JSATS
AntelopeCk1,40.1869,-122.13487,405.4794,2013,JSATS
AntelopeCk2,40.14881,-122.13683,400.75383,2013,JSATS
AntelopeConf,40.13393,-122.14003,397.11478,2013,JSATS
Antioch,38.02636,-121.8214,85.70212,2013,JSATS
AntiochBridge,38.02426,-121.75163,92.87448,2013,JSATS
AR_Downstream_WattAve,38.56572,-121.39069,191.73575,2013,JSATS
AR_Mouth,38.59999,-121.50684,177.72025,2013,JSATS
AR_RanchoCordova,38.61468,-121.30276,203.21358,2013,JSATS
AR_Sunrise_Ramp,38.63634,-121.26424,209.9339,2013,JSATS
AR_Upstream_Hwy80,38.58339,-121.44109,184.45282,2013,JSATS
BaseSutterSteam,38.18425,-121.65201,104.96505,2013,JSATS
Battle_Conf,40.35371,-122.17734,449.50716,2013,JSATS
BattleCk_Bridge,40.39479,-122.1628,457.44765,2013,JSATS
BattleCk_CNFH,40.39814,-122.1453,459.10983,2013,JSATS
BattleCk_RST_Rel,40.39812,-122.14487,459.15503,2013,JSATS
BattleCk1,40.39827,-122.14959,458.7489,2013,JSATS
BattleCk1_2014,40.39181,-122.17781,455.87985,2013,JSATS
BattleCk2,40.3954,-122.16553,457.00068,2013,JSATS
BattleCk2_2014,40.39672,-122.15365,458.37984,2013,JSATS
BattleCk250BlwFL,40.39818,-122.14665,458.9983,2013,JSATS
BattleCk3,40.38457,-122.17897,453.50496,2013,JSATS
BattleCk4,40.36074,-122.17268,450.4269,2013,JSATS
BC_Beach,38.87751,-121.61404,187.84837,2013,JSATS
Benicia,38.04123,-122.12382,55.07254,2013,JSATS
Blw_ClearCr,40.50188,-122.36192,478.07867,2013,JSATS
Blw_Cypress,40.56047,-122.37527,486.61681,2013,JSATS
Blw_FRConf,38.78212,-121.61526,177.15859,2013,JSATS
Blw_FremontWeir,38.78212,-121.61526,177.15859,2013,JSATS
Blw_Hood,38.34365,-121.5552,137.84305,2013,JSATS
Blw_IrvineFinch,39.73146,-121.97483,336.3942,2013,JSATS
Blw_Paynes_Ck,40.25534,-122.17332,418.369,2013,JSATS
Blw_Salt,40.1464,-122.15246,398.87124,2013,JSATS
Blw_Steamboat,38.29995,-121.56966,131.99923,2013,JSATS
Blw_Sutter,38.32402,-121.57578,134.85905,2013,JSATS
BlwButteBr,39.41913,-122.00943,280.51585,2013,JSATS
BlwChinaBend,38.88406,-121.81713,206.06341,2013,JSATS
BlwCowCr,40.46013,-122.22765,463.3661,2013,JSATS
BlwGeorgiana,38.23946,-121.52507,122.4077,2013,JSATS
BlwMoulton,39.2205,-122.00847,249.98005,2013,JSATS
BlwOrd,39.56548,-122.0018,303.70226,2013,JSATS
BlwTisdale,38.98941,-121.80463,222.05585,2013,JSATS
Bonnyview_Rel,40.53758,-122.35724,483.03305,2013,JSATS
BoydsPump,39.05943,-121.61014,212.21633,2013,JSATS
Bullock Bend,38.91335,-121.81114,212.72966,2013,JSATS
Butte0.5,39.102,-121.75864,218.70256,2013,JSATS
Butte1,39.09834,-121.75655,218.25773,2013,JSATS
Butte2,39.00687,-121.72227,207.66034,2013,JSATS
Butte3,38.92734,-121.62995,195.60546,2013,JSATS
Butte4,38.91502,-121.62542,194.04055,2013,JSATS
Butte5,38.85305,-121.65151,186.12898,2013,JSATS
Butte6,38.78346,-121.63226,175.70613,2013,JSATS
ButteBr,39.4569,-121.995,286.19994,2013,JSATS
Caldwell Park_Rel,40.59383,-122.39836,493.85623,2013,JSATS
ChippsE,38.04627,-121.91559,74.36495,2013,JSATS
ChippsW,38.04599,-121.90969,74.88137,2013,JSATS
Colusa AC2,39.28007,-122.01891,260.76878,2013,JSATS
Colusa AC3,39.36038,-122.01373,273.51861,2013,JSATS
Colusa BC2,39.18497,-121.94322,241.46941,2013,JSATS
Colusa BC3,39.13132,-121.93655,235.91842,2013,JSATS
CoxRiffle,39.33327,-121.63268,254.41131,2013,JSATS
DeckerIsland,38.07916,-121.75954,89.23284,2013,JSATS
DeerCk_RST,39.99746,-121.96773,383.43316,2013,JSATS
DeerCk1,39.97184,-121.99537,378.5609,2013,JSATS
DeerCk2,39.9627,-122.03343,374.87732,2013,JSATS
DeerCk3,39.9621,-122.03614,374.5818,2013,JSATS
DeerCk4,39.94389,-122.05831,371.52499,2013,JSATS
DeltaCross_Channel,38.24436,-121.50091,124.98593,2013,JSATS
FR Boyds Release,39.05733,-121.61066,211.97875,2013,JSATS
Freeport,38.46467,-121.50501,155.80646,2013,JSATS
Freeport Div.,38.47223,-121.50639,156.65643,2013,JSATS
FreeportBr,38.47223,-121.50639,156.65643,2013,JSATS
GCID_abv,39.79022,-122.03549,345.71387,2013,JSATS
GCID_blw,39.79022,-122.03549,345.71387,2013,JSATS
GeorgeMok,38.12946,-121.58521,119.82843,2013,JSATS
Georgiana_Slough,38.23565,-121.518,123.61423,2013,JSATS
GoldenGateE,37.82794,-122.46168,1.76372,2013,JSATS
GoldenGateW,37.82126,-122.46918,0.80985,2013,JSATS
Gridley_Rel,39.35787,-121.63604,258.00077,2013,JSATS
Hood,38.3617,-121.52033,141.57841,2013,JSATS
Hood Release,38.37524,-121.52383,143.08677,2013,JSATS
Hood_RT,38.3741,-121.523,142.94268,2013,JSATS
Hunters,40.09616,-122.13017,392.37693,2013,JSATS
Hwy 44 Bridge,40.58691,-122.36891,490.33909,2013,JSATS
Hwy84Ferry,38.19008,-121.65764,104.83892,2013,JSATS
I80_Br,38.57113,-121.5164,174.21314,2013,JSATS
JV_Glide,40.14699,-122.17251,400.63345,2013,JSATS
KnaggsRanch_BlwRel,38.70523,-121.64017,166.38406,2013,JSATS
KnaggsRanch_Rel,38.70618,-121.63987,166.49249,2013,JSATS
Knights_RST,38.79248,-121.69087,183.11075,2013,JSATS
KnightsLanding,38.82341,-121.72388,188.99425,2013,JSATS
KnightsLandingBr,38.8021,-121.72,186.40795,2013,JSATS
Lower Minor,38.24257,-121.66132,111.74616,2013,JSATS
MeridanBr,39.14554,-121.91798,239.53607,2013,JSATS
MiddleRiver,37.9385,-121.534,124.39187,2013,JSATS
Mill_Ck_Conf,40.0327,-122.11987,383.67139,2013,JSATS
MillCk_RST_Rel,40.05479,-122.0321,392.65142,2013,JSATS
MillCk1,40.0555,-122.04123,391.8675,2013,JSATS
MillCk1.5,40.0526,-122.05846,390.26663,2013,JSATS
MillCk2,40.04607,-122.09443,386.62034,2013,JSATS
MillCk3,40.04035,-122.10442,385.40241,2013,JSATS
MinerNorth,38.28791,-121.60865,119.58275,2013,JSATS
MinorBlwSutter,38.28386,-121.60406,118.93597,2013,JSATS
Mok_NF,38.22321,-121.5072,128.4006,2013,JSATS
Mok_NF_end,38.14326,-121.56091,121.67876,2013,JSATS
Mok_SF,38.22546,-121.49135,129.86829,2013,JSATS
Mok_SF_Blw_Hwy12,38.10911,-121.50105,127.90038,2013,JSATS
Mok_SF_end,38.12584,-121.49574,129.22773,2013,JSATS
Nimbus Hatchery RW,38.634,-121.22474,213.63508,2013,JSATS
Old River,37.93958,-121.5611,121.85004,2013,JSATS
RedBluffDivDam,40.15301,-122.19824,403.24807,2013,JSATS
RioVistaBr,38.15899,-121.68474,100.63458,2013,JSATS
SacTrawl1,38.54081,-121.51331,170.46718,2013,JSATS
SacTrawl2,38.53823,-121.51557,170.11692,2013,JSATS
ShanghaiBend,39.09464,-121.59285,216.71946,2013,JSATS
SJ_Dutch Slough,38.01182,-121.6805,100.9251,2013,JSATS
SJ_JerseyPt,38.05002,-121.6907,99.07171,2013,JSATS
SouthofBW,38.11047,-121.58224,116.66191,2013,JSATS
SR_Mouth,38.17363,-121.64804,104.9792,2013,JSATS
StarBend,39.00988,-121.59382,205.6694,2013,JSATS
SteamboatSlough,38.30017,-121.5804,121.70775,2013,JSATS
SunsetPumps,39.25172,-121.63522,240.22859,2013,JSATS
SutterBypass Weir2 RST,39.10239,-121.7588,218.74787,2013,JSATS
SutterSlough,38.33214,-121.58301,125.30616,2013,JSATS
SutterSteamJunc,38.25163,-121.60279,115.11794,2013,JSATS
ThreeMile,38.11595,-121.68571,97.92314,2013,JSATS
ToeDrainBase,38.29072,-121.6608,117.67744,2013,JSATS
ToeDrainRST,38.35257,-121.64342,124.72483,2013,JSATS
TowerBridge,38.5802,-121.508,175.46817,2013,JSATS
YB_LeveeMarker,38.54712,-121.58515,147.31452,2013,JSATS
YB_LibertyIsBase,38.22411,-121.67524,109.07668,2013,JSATS
YB_LisbonWeir,38.47631,-121.58869,139.39665,2013,JSATS
YB_OldRiverRd,38.67759,-121.64423,163.23416,2013,JSATS
1A,38.42108,-121.52695,148.837,2016,Vemco
1B,38.42145,-121.52575,148.837,2016,Vemco
1C,38.42027,-121.52652,148.757,2016,Vemco
1D,38.4207,-121.52528,148.757,2016,Vemco
2A,38.39487,-121.51367,145.617,2016,Vemco
2B,38.395,-121.51253,145.617,2016,Vemco
2C,38.3943,-121.51408,145.547,2016,Vemco
2D,38.3943,-121.5127,145.547,2016,Vemco
3A,38.36158,-121.52232,141.498,2016,Vemco
3B,38.36112,-121.52082,141.498,2016,Vemco
3C,38.36082,-121.5227,141.358,2016,Vemco
3D,38.36013,-121.52177,141.358,2016,Vemco
5A,38.33413,-121.56982,136.099,2016,Vemco
5B,38.33362,-121.56867,136.099,2016,Vemco
5C,38.33362,-121.57048,135.989,2016,Vemco
5D,38.3328,-121.5696,135.989,2016,Vemco
Above Swanstons Rd. Crossing,38.5924755,-121.5867721,152.455,2016,Vemco
Base of Toe Drain,38.2904031,-121.6610132,117.677,2016,Vemco
Below Lisbon Weir,38.47475669,-121.5886227,139.397,2016,Vemco
BF.1,38.45045,-121.5017167,154.206,2016,Vemco
BF.2,38.4505,-121.5008833,154.206,2016,Vemco
BF.4,38.44971667,-121.5009667,154.116,2016,Vemco
Cache Slough East 1,38.22792,-121.67347,109.477,2016,Vemco
Cache Slough East 2,38.22336,-121.67261,108.957,2016,Vemco
Cache Slough West 1,38.22786,-121.6758,109.477,2016,Vemco
Cache Slough West 2,38.22304,-121.67489,108.957,2016,Vemco
CCH.1,38.22212127,-121.6738046,108.847,2016,Vemco
CCH.1-HR2,38.22318333,-121.6740167,108.957,2016,Vemco
CCH.2,38.22236667,-121.6730167,108.847,2016,Vemco
CCH.2-HR2,38.22321667,-121.6732667,108.957,2016,Vemco
GEO.d,38.2337,-121.5196167,123.614,2016,Vemco
GEO.u,38.23426667,-121.51905,123.614,2016,Vemco
I-80 #1,38.572972,-121.584149,150.265,2016,Vemco
I-80 #10,38.56933,-121.60434,150.265,2016,Vemco
I-80 #11,38.56892,-121.60653,150.265,2016,Vemco
I-80 #12,38.56852,-121.60872,150.265,2016,Vemco
I-80 #13,38.56815,-121.61089,150.265,2016,Vemco
I-80 #14,38.56807,-121.6116,150.265,2016,Vemco
I-80 #15,38.56469,-121.63024,150.265,2016,Vemco
I-80 #16,38.56429,-121.63244,150.265,2016,Vemco
I-80 #17,38.56392,-121.63461,150.265,2016,Vemco
I-80 #18,38.56354,-121.63679,150.265,2016,Vemco
I-80 #2,38.572579,-121.586369,150.265,2016,Vemco
I-80 #3,38.572214,-121.588569,150.265,2016,Vemco
I-80 #4,38.571805,-121.590728,150.265,2016,Vemco
I-80 #5,38.57127,-121.59344,150.265,2016,Vemco
I-80 #6,38.57088,-121.59563,150.265,2016,Vemco
I-80 #7,38.57049,-121.59781,150.265,2016,Vemco
I-80 #8,38.57009,-121.6,150.265,2016,Vemco
I-80 #9,38.5697,-121.60218,150.265,2016,Vemco
I-80 Bridge,38.57309,-121.58298,150.265,2016,Vemco
LPS.d,38.09503333,-121.4947833,125.67,2016,Vemco
LPS.u,38.09575,-121.4952167,125.67,2016,Vemco
MAL.1,38.05091667,-121.9294167,73.06495,2016,Vemco
MAL.10a,38.0480489,-121.9319371,72.66495,2016,Vemco
MAL.10b,38.04828333,-121.9327833,72.66495,2016,Vemco
MAL.11a,38.04707381,-121.9333274,72.66495,2016,Vemco
MAL.11b,38.04726667,-121.9342833,72.66495,2016,Vemco
