"","LOC","GEN","LAT","LON","Year","Type"
"2","Woodson1","Abv_WoodsonBr",39.920093,-122.084461,"2017","JSATS"
"6","BlwOrd1","BlwOrd",39.56548,-122.0018,"2017","JSATS"
"8","BlwOrd2","BlwOrd",39.56478,-122.00032,"2017","JSATS"
"11","AC3b","Colusa AC3",39.359334,-122.012899,"2017","JSATS"
"18","AC2a","Colusa AC2",39.28007,-122.01891,"2017","JSATS"
"23","AC2b","Colusa AC2",39.27958,-122.017784,"2017","JSATS"
"35","RT_Colusa2","AbvColusaBrRT",39.2647,-121.999,"2017","JSATS"
"51","BC2a","Colusa BC2",39.18557,-121.94306,"2017","JSATS"
"66","AbvTisdale4","AbvTisdale",39.0361,-121.829,"2017","JSATS"
"71","AbvTisdale5","AbvTisdale",39.0364,-121.82918,"2017","JSATS"
"73","Knights_RST2","Knights_RST",38.79368,-121.6907,"2017","JSATS"
"85","Knights_RST1","Knights_RST",38.79248,-121.69087,"2017","JSATS"
"92","Abv_Fremont2","Abv_FremontWeir",38.7594,-121.67165,"2017","JSATS"
"99","Blw_Fremont1","Blw_FremontWeir",38.77015,-121.6322,"2017","JSATS"
"102","Blw_Fremont2","Blw_FremontWeir",38.77268,-121.63204,"2017","JSATS"
"108","TowerBr3","TowerBridge",38.58025,-121.50816,"2017","JSATS"
"111","SacTrawl1 RL","SacTrawl1",38.54071,-121.51201,"2017","JSATS"
"114","BlSteam1","Blw_Steamboat",38.3,-121.56998,"2017","JSATS"
"119","Hwy84Ferry1","Hwy84Ferry",38.1901,-121.65765,"2017","JSATS"
"130","Hwy84Ferry2","Hwy84Ferry",38.19062,-121.66009,"2017","JSATS"
"153","RioVistaBr2","RioVistaBr",38.158563,-121.683758,"2017","JSATS"
"196","DeckrIs4","DeckerIsland",38.07568,-121.75524,"2017","JSATS"
"228","Chipps1.1","ChippsE",38.049248,-121.909298,"2017","JSATS"
"270","Chipps2.2","ChippsW",38.047743,-121.915287,"2017","JSATS"
"285","Chipps2.3","ChippsW",38.046298,-121.915567,"2017","JSATS"
"298","Chipps2.1","ChippsW",38.049103,-121.915108,"2017","JSATS"
"433","Chipps1.5","ChippsE",38.042682,-121.910271,"2017","JSATS"
"466","Benicia05","BeniciaW",38.03994,-122.12301,"2017","JSATS"
"514","CowCk3","BlwCowCr",40.45787,-122.22789,"2017","JSATS"
"538","I80-50_Br3","I80-50_Br",38.57117,-121.51629,"2017","JSATS"
"541","I80-50_Br4","I80-50_Br",38.570663,-121.515708,"2017","JSATS"
"561","I80-50_Br2","I80-50_Br",38.57117,-121.51629,"2017","JSATS"
"602","SacTrawl2 RL","SacTrawl2",38.53729,-121.51524,"2017","JSATS"
"608","Freeport2","Freeport",38.46594,-121.50357,"2017","JSATS"
"611","Blw_Sutter_2","Blw_Sutter",38.32445,-121.57745,"2017","JSATS"
"616","SR_Mouth2","SR_Mouth",38.17236,-121.65096,"2017","JSATS"
"618","SR_Mouth1","SR_Mouth",38.17303,-121.65331,"2017","JSATS"
"782","DeckrIs1","DeckerIsland",38.081273,-121.759482,"2017","JSATS"
"837","Chipps1.3","ChippsE",38.045992,-121.909692,"2017","JSATS"
"860","Benicia08","BeniciaW",38.03645,-122.1201,"2017","JSATS"
"862","Benicia06","BeniciaW",38.03896,-122.12192,"2017","JSATS"
"864","Benicia07","BeniciaW",38.03761667,-122.1210833,"2017","JSATS"
"894","BlwMoulton1","BlwMoulton",39.32015,-122.02611,"2017","JSATS"
"918","Colusa1","AbvColusaBr",39.22117,-122.00654,"2017","JSATS"
"931","BullockBend2","Bullock Bend",38.913201,-121.812405,"2017","JSATS"
"935","BullockBend3","Bullock Bend",38.913041,-121.809324,"2017","JSATS"
"945","BullockBend1","Bullock Bend",38.913688,-121.814132,"2017","JSATS"
"1124","SutterSteamJ1","SutterSteamJunc",38.25163,-121.60279,"2017","JSATS"
"1134","ThreeMile1","ThreeMile",38.11595,-121.68571,"2017","JSATS"
"1150","AntiochBr20","AntiochBridge",38.028459,-121.75183,"2017","JSATS"
"1250","Chipps1.4","ChippsE",38.044284,-121.909977,"2017","JSATS"
"1363","Chipps2.4","ChippsW",38.044822,-121.915819,"2017","JSATS"
"1392","Chipps2.5","ChippsW",38.043436,-121.916078,"2017","JSATS"
"1838","Benicia04","BeniciaW",38.04123333,-122.1238167,"2017","JSATS"
"1858","AC3a","Colusa AC3",39.36038,-122.01373,"2017","JSATS"
"1899","BC2b","Colusa BC2",39.18534,-121.94201,"2017","JSATS"
"1991","SacTrawl1 RR","SacTrawl1",38.5414,-121.5134,"2017","JSATS"
"2008","Hood_1","Hood",38.3617,-121.52033,"2017","JSATS"
"2025","RioVistaBr3","RioVistaBr",38.158994,-121.684739,"2017","JSATS"
"2116","Benicia01","BeniciaW",38.04494,-122.12695,"2017","JSATS"
